"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Tests the main navigation of the Playwright site and video recording.

    Step-by-step:
    1. Creates a new browser context with video recording enabled,
       configured to save videos in the ""video/"" directory.
    2. Opens a new page within this context.
    3. Navigates to the Playwright for Python homepage.
    4. Locates and clicks the button to switch the theme (light/dark mode).
    5. Locates the ""GET STARTED"" link and clicks it.
    6. Verifies (asserts) that the final page URL is the expected documentation URL.
    ","0","test_page_has_get_started_link[webkit]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_video","",""
"","0","test_visits_google_account[webkit]","tests","Tue Jan 20 16:39:44 GMT 2026","skipped","Tue Jan 20 16:39:44 GMT 2026","","test_args","",""
"","0","test_user_api[webkit]","tests.api","Tue Jan 20 16:39:45 GMT 2026","broken","Tue Jan 20 16:39:45 GMT 2026","","test_mock","",""
"","0","test_page_has_docs_link[chromium]","tests","Tue Jan 20 16:39:43 GMT 2026","broken","Tue Jan 20 16:39:43 GMT 2026","","test_page_fixture","",""
"","208","test_create_user","tests.api","Tue Jan 20 16:39:45 GMT 2026","failed","Tue Jan 20 16:39:45 GMT 2026","","test_methods","",""
"","0","test_get_started_visits_docs[firefox]","tests","Tue Jan 20 16:39:43 GMT 2026","broken","Tue Jan 20 16:39:43 GMT 2026","","test_hook","",""
"","0","test_ajax[webkit]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_ajax","",""
"","0","test_ajax[firefox]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_ajax","",""
"","215","test_update_user","tests.api","Tue Jan 20 16:39:45 GMT 2026","passed","Tue Jan 20 16:39:45 GMT 2026","","test_methods","",""
"","0","test_page_has_docs_link[chromium]","tests","Tue Jan 20 16:39:42 GMT 2026","broken","Tue Jan 20 16:39:42 GMT 2026","","test_hook","",""
"","0","test_user_api[chromium]","tests.api","Tue Jan 20 16:39:43 GMT 2026","broken","Tue Jan 20 16:39:43 GMT 2026","","test_mock","",""
"","0","test_app[firefox]","tests","Tue Jan 20 16:39:43 GMT 2026","broken","Tue Jan 20 16:39:43 GMT 2026","","test_checkbox","",""
"
    Tests the main navigation of the Playwright site and video recording.

    Step-by-step:
    1. Creates a new browser context with video recording enabled,
       configured to save videos in the ""video/"" directory.
    2. Opens a new page within this context.
    3. Navigates to the Playwright for Python homepage.
    4. Locates and clicks the button to switch the theme (light/dark mode).
    5. Locates the ""GET STARTED"" link and clicks it.
    6. Verifies (asserts) that the final page URL is the expected documentation URL.
    ","0","test_page_has_get_started_link[chromium]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_video","",""
"","0","test_page_has_docs_link[webkit]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_page_fixture","",""
"
    Teste original: Verifica se a página inicial tem um link ""GET STARTED""
    e se ele redireciona para a URL de documentação correta.
    ","0","test_page_has_get_started_link[webkit]","tests","Tue Jan 20 16:39:44 GMT 2026","broken","Tue Jan 20 16:39:44 GMT 2026","","test_expect_samples","",""
